model,task,nodes,vertices,edges,features,runtime,?
agnn,training,16,1048576,109951163,128,28785,169
agnn,training,16,1048576,109951163,16,1120,3
agnn,training,16,131072,171798692,128,8604,76
agnn,training,16,131072,171798692,16,318,2
agnn,training,16,2097152,439804651,128,129272,343
agnn,training,16,2097152,439804651,16,3866,9
agnn,training,16,262144,687194767,128,57038,139
agnn,training,16,262144,687194767,16,962,6
agnn,training,1,1048576,109951163,128,545046,1973
agnn,training,1,1048576,109951163,16,11451,16
agnn,training,1,131072,171798692,128,356837,197
agnn,training,1,131072,171798692,128,357008,280
agnn,training,1,131072,171798692,16,3722,12
agnn,training,256,1048576,109951163,128,3716,21
agnn,training,256,1048576,109951163,16,256,8
agnn,training,256,131072,171798692,128,831,7
agnn,training,256,131072,171798692,16,59,2
agnn,training,256,2097152,439804651,128,9321,44
agnn,training,256,2097152,439804651,16,531,14
agnn,training,256,262144,687194767,128,2177,30
agnn,training,256,262144,687194767,16,131,6
agnn,training,4,1048576,109951163,128,126833,282
agnn,training,4,1048576,109951163,16,3769,3
agnn,training,4,131072,171798692,128,59336,261
agnn,training,4,131072,171798692,16,974,2
agnn,training,4,2097152,439804651,128,567164,267
agnn,training,4,2097152,439804651,16,11977,22
agnn,training,4,262144,687194767,128,330886,1635
agnn,training,4,262144,687194767,16,3626,32
agnn,training,64,1048576,109951163,128,9062,79
agnn,training,64,1048576,109951163,16,506,10
agnn,training,64,131072,171798692,128,2215,40
agnn,training,64,131072,171798692,16,131,2
agnn,training,64,2097152,439804651,128,29393,174
agnn,training,64,2097152,439804651,16,1218,11
agnn,training,64,262144,687194767,128,8497,35
agnn,training,64,262144,687194767,16,331,7
gat,training,16,1048576,109951163,128,6544,16
gat,training,16,1048576,109951163,16,862,3
gat,training,16,131072,171798692,128,1058,8
gat,training,16,131072,171798692,16,322,1
gat,training,16,2097152,439804651,128,16463,31
gat,training,16,2097152,439804651,16,2954,1
gat,training,16,262144,687194767,128,4044,4
gat,training,16,262144,687194767,16,1097,6
gat,training,1,1048576,109951163,128,39300,5
gat,training,1,1048576,109951163,16,8114,4
gat,training,1,131072,171798692,128,15223,7
gat,training,1,131072,171798692,16,4219,0
gat,training,1,2097152,439804651,128,127136,67
gat,training,1,2097152,439804651,16,29381,21
gat,training,256,1048576,109951163,128,1644,11
gat,training,256,1048576,109951163,16,238,5
gat,training,256,131072,171798692,128,245,4
gat,training,256,131072,171798692,16,60,5
gat,training,256,2097152,439804651,128,3316,27
gat,training,256,2097152,439804651,16,436,9
gat,training,256,262144,687194767,128,471,1
gat,training,256,262144,687194767,16,107,6
gat,training,4,1048576,109951163,128,15790,16
gat,training,4,1048576,109951163,16,2908,1
gat,training,4,131072,171798692,128,4074,4
gat,training,4,131072,171798692,16,1122,3
gat,training,4,2097152,439804651,128,42559,4
gat,training,4,2097152,439804651,16,8631,7
gat,training,4,262144,687194767,128,14955,3
gat,training,4,262144,687194767,16,4085,3
gat,training,64,1048576,109951163,128,3135,8
gat,training,64,1048576,109951163,16,399,4
gat,training,64,131072,171798692,128,424,9
gat,training,64,131072,171798692,16,94,3
gat,training,64,2097152,439804651,128,6760,9
gat,training,64,2097152,439804651,16,930,1
gat,training,64,262144,687194767,128,1097,7
gat,training,64,262144,687194767,16,317,1
va,training,16,1048576,109951163,128,31202,37
va,training,16,1048576,109951163,16,2232,4
va,training,16,131072,171798692,128,12037,52
va,training,16,131072,171798692,16,970,8
va,training,16,2097152,439804651,128,101025,470
va,training,16,2097152,439804651,16,7833,18
va,training,16,262144,687194767,128,81598,444
va,training,16,262144,687194767,16,4482,8
va,training,1,1048576,109951163,128,330573,592
va,training,1,1048576,109951163,16,25549,16
va,training,1,131072,171798692,128,434023,887
va,training,1,131072,171798692,16,20284,7
va,training,1,2097152,439804651,128,1238888,819
va,training,1,2097152,439804651,16,90374,10
va,training,256,1048576,109951163,128,3644,24
va,training,256,1048576,109951163,16,267,5
va,training,256,131072,171798692,128,909,10
va,training,256,131072,171798692,16,75,4
va,training,256,2097152,439804651,128,10754,85
va,training,256,2097152,439804651,16,838,12
va,training,256,262144,687194767,128,2590,43
va,training,256,262144,687194767,16,232,4
va,training,4,1048576,109951163,128,100081,165
va,training,4,1048576,109951163,16,7896,22
va,training,4,131072,171798692,128,86089,369
va,training,4,131072,171798692,16,4672,12
va,training,4,2097152,439804651,128,333930,239
va,training,4,2097152,439804651,16,25308,13
va,training,4,262144,687194767,128,407579,1222
va,training,4,262144,687194767,16,19327,7
va,training,64,1048576,109951163,128,10496,56
va,training,64,1048576,109951163,16,792,2
va,training,64,131072,171798692,128,2567,26
va,training,64,131072,171798692,16,254,1
va,training,64,2097152,439804651,128,32400,78
va,training,64,2097152,439804651,16,2213,4
va,training,64,262144,687194767,128,11514,66
va,training,64,262144,687194767,16,935,5
