model,task,nodes,vertices,edges,features,runtime,?
agnn,training,16,524288,2748779069,128,306007,1087
agnn,training,16,524288,2748779069,16,3434,13
agnn,training,16,524288,274877907,128,42008,416
agnn,training,16,524288,274877907,16,957,7
agnn,training,16,524288,27487791,128,8506,85
agnn,training,16,524288,27487791,16,455,2
agnn,training,1,131072,171798692,128,356954,267
agnn,training,1,131072,171798692,16,3720,10
agnn,training,1,131072,17179869,128,44281,121
agnn,training,1,131072,17179869,16,895,5
agnn,training,1,131072,1717987,128,7181,39
agnn,training,1,131072,1717987,16,391,1
agnn,training,256,2097152,43980465111,128,255449,963
agnn,training,256,2097152,43980465111,16,3099,17
agnn,training,256,2097152,4398046511,128,38900,159
agnn,training,256,2097152,4398046511,16,1031,9
agnn,training,256,2097152,439804651,128,9486,61
agnn,training,256,2097152,439804651,16,558,13
agnn,training,4,1262144,687194767,128,729383,1324
agnn,training,4,1262144,687194767,16,11255,20
agnn,training,4,262144,68719477,128,44795,56
agnn,training,4,262144,68719477,16,960,7
agnn,training,4,262144,6871948,128,8132,40
agnn,training,4,262144,6871948,16,437,2
agnn,training,64,1048576,10995116278,128,285432,543
agnn,training,64,1048576,10995116278,16,3282,13
agnn,training,64,1048576,1099511628,128,43384,350
agnn,training,64,1048576,1099511628,16,994,8
agnn,training,64,1048576,109951163,128,9161,62
agnn,training,64,1048576,109951163,16,517,17
gat,training,16,524288,2748779069,128,14233,10
gat,training,16,524288,2748779069,16,3892,4
gat,training,16,524288,274877907,128,4785,10
gat,training,16,524288,274877907,16,954,2
gat,training,16,524288,27487791,128,2954,10
gat,training,16,524288,27487791,16,363,6
gat,training,1,131072,171798692,128,15212,2
gat,training,1,131072,171798692,16,4224,1
gat,training,1,131072,17179869,128,4207,2
gat,training,1,131072,17179869,16,875,1
gat,training,1,131072,1717987,128,2208,0
gat,training,1,131072,1717987,16,267,0
gat,training,256,2097152,43980465111,128,12943,30
gat,training,256,2097152,43980465111,16,3453,7
gat,training,256,2097152,4398046511,128,4961,22
gat,training,256,2097152,4398046511,16,984,9
gat,training,256,2097152,439804651,128,3314,10
gat,training,256,2097152,439804651,16,445,3
gat,training,4,1262144,687194767,128,38381,20
gat,training,4,1262144,687194767,16,8893,2
gat,training,4,262144,68719477,128,4711,4
gat,training,4,262144,68719477,16,945,2
gat,training,4,262144,6871948,128,2724,4
gat,training,4,262144,6871948,16,343,2
gat,training,64,1048576,10995116278,128,13782,8
gat,training,64,1048576,10995116278,16,3713,7
gat,training,64,1048576,1099511628,128,4910,9
gat,training,64,1048576,1099511628,16,972,8
gat,training,64,1048576,109951163,128,3092,4
gat,training,64,1048576,109951163,16,405,9
va,training,16,524288,2748779069,128,377889,261
va,training,16,524288,2748779069,16,18024,33
va,training,16,524288,274877907,128,55386,164
va,training,16,524288,274877907,16,3372,4
va,training,16,524288,27487791,128,9873,89
va,training,16,524288,27487791,16,770,4
va,training,1,131072,171798692,128,433595,1307
va,training,1,131072,171798692,16,20275,22
va,training,1,131072,17179869,128,58276,144
va,training,1,131072,17179869,16,3486,3
va,training,1,131072,1717987,128,8822,25
va,training,1,131072,1717987,16,733,0
va,training,256,2097152,43980465111,128,315932,387
va,training,256,2097152,43980465111,16,15516,17
va,training,256,2097152,4398046511,128,50953,103
va,training,256,2097152,4398046511,16,3122,8
va,training,256,2097152,439804651,128,10740,80
va,training,256,2097152,439804651,16,828,11
va,training,4,1262144,687194767,128,474348,1290
va,training,4,1262144,687194767,16,30253,31
va,training,4,262144,68719477,128,58904,209
va,training,4,262144,68719477,16,3428,10
va,training,4,262144,6871948,128,9576,45
va,training,4,262144,6871948,16,752,1
va,training,64,1048576,10995116278,128,350943,506
va,training,64,1048576,10995116278,16,16979,9
va,training,64,1048576,1099511628,128,56069,177
va,training,64,1048576,1099511628,16,3287,4
va,training,64,1048576,109951163,128,10499,57
va,training,64,1048576,109951163,16,784,2
