Model,Task,#Nodes,Datatyp,#Vertices,#Edges,#Layers,#Features,Time mean [ms],Time std [ms]
AGNN,Inference,16,float32,111059968,1615685884,3,16,24811,31
AGNN,Inference,64,float32,111059968,1615685884,3,16,12077,157
AGNN,Inference,256,float32,111059968,1615685884,3,16,7490,292
AGNN,Training,256,float32,111059968,1615685884,3,16,33139,433
AGNN,Inference,256,float32,111059968,1615685884,3,64,28267,552
AGNN,Inference,1024,float32,111059968,1615685884,3,16,3795,16
AGNN,Inference,1024,float32,111059968,1615685884,3,128,44184,1896
AGNN,Training,1024,float32,111059968,1615685884,3,16,16698,17
AGNN,Inference,1024,float32,111059968,1615685884,3,64,15538,734
AGNN,Training,1024,float32,111059968,1615685884,3,64,74508,3063
AGNN,Inference,64,float32,111059968,1615685884,3,32,24926,414
GAT,Inference,16,float32,111059968,1615685884,3,16,36346,28
GAT,Training,64,float32,111059968,1615685884,3,16,51291,105
GAT,Training,16,float32,111059968,1615685884,3,16,114758,17
GAT,Inference,64,float32,111059968,1615685884,3,16,18968,255
GAT,Inference,256,float32,111059968,1615685884,3,16,9608,7
GAT,Inference,256,float32,111059968,1615685884,3,128,69700,718
GAT,Training,256,float32,111059968,1615685884,3,16,23564,103
GAT,Inference,1024,float32,111059968,1615685884,3,16,5211,60
GAT,Inference,64,float32,111059968,1615685884,3,64,65900,454
GAT,Inference,1024,float32,111059968,1615685884,3,128,36512,609
GAT,Training,1024,float32,111059968,1615685884,3,16,11401,106
GAT,Inference,256,float32,111059968,1615685884,3,64,34702,99
GAT,Training,1024,float32,111059968,1615685884,3,128,85906,5
GAT,Training,256,float32,111059968,1615685884,3,64,84403,1045
GAT,Inference,1024,float32,111059968,1615685884,3,64,20390,493
GAT,Training,1024,float32,111059968,1615685884,3,64,47679,365
GAT,Inference,64,float32,111059968,1615685884,3,32,37371,256
GAT,Inference,16,float32,111059968,1615685884,3,32,78172,6505
GAT,Inference,256,float32,111059968,1615685884,3,32,26288,3909
VA,Inference,16,float32,111059968,1615685884,3,16,23433,19
VA,Inference,64,float32,111059968,1615685884,3,16,12070,196
VA,Inference,256,float32,111059968,1615685884,3,16,6795,63
VA,Training,256,float32,111059968,1615685884,3,16,176630,998
VA,Training,64,float32,111059968,1615685884,3,16,673856,165
VA,Inference,1024,float32,111059968,1615685884,3,16,3566,41
VA,Inference,1024,float32,111059968,1615685884,3,128,29563,294
VA,Training,1024,float32,111059968,1615685884,3,16,51649,264
VA,Training,1024,float32,111059968,1615685884,3,128,601371,995
VA,Inference,256,float32,111059968,1615685884,3,64,26775,163
VA,Training,256,float32,111059968,1615685884,3,64,697553,778
VA,Inference,1024,float32,111059968,1615685884,3,64,15027,65
VA,Training,1024,float32,111059968,1615685884,3,64,208099,1779
VA,Inference,64,float32,111059968,1615685884,3,32,25103,421
VA,Inference,256,float32,111059968,1615685884,3,32,18945,5649
VA,Training,256,float32,111059968,1615685884,3,32,333875,400
VA,Inference,1024,float32,111059968,1615685884,3,32,7644,32
VA,Training,1024,float32,111059968,1615685884,3,32,98449,331
