Experiment ID,Job ID,Model,Task,Setting,#Repetitions,#Nodes,Dataset,Datatyp,Scale,#Vertices,Density,#Edges,#Layers,#Features,Elapsed,Node-Hours,Done,Time mean [ms],Time std [ms]
,,GAT,Training,Single Node,1,1,Kronecker,float32,17,131072,1%,171798692,3,16,,,,8047,2
,,GAT,Training,Single Node,1,1,Kronecker,float32,18,262144,1%,687194767,3,16,,,OOM,,
,,GAT,Training,Single Node,1,1,Kronecker,float32,20,1048576,0.01%,109951163,3,16,,,,13500,5
,,GAT,Training,Single Node,1,1,Kronecker,float32,21,2097152,0.01%,439804651,3,16,,,,52782,9
,,GAT,Training,Distributed,1,4,Kronecker,float32,17,131072,1%,171798692,3,16,,,,1823,6
,,GAT,Training,Distributed,1,4,Kronecker,float32,18,262144,1%,687194767,3,16,,,,7679,3
,,GAT,Training,Distributed,1,4,Kronecker,float32,20,1048576,0.01%,109951163,3,16,,,,4039,6
,,GAT,Training,Distributed,1,4,Kronecker,float32,21,2097152,0.01%,439804651,3,16,,,,13924,4
,,GAT,Training,Distributed,1,16,Kronecker,float32,17,131072,1%,171798692,3,16,,,,413,1
,,GAT,Training,Distributed,1,16,Kronecker,float32,18,262144,1%,687194767,3,16,,,,1775,3
,,GAT,Training,Distributed,1,16,Kronecker,float32,20,1048576,0.01%,109951163,3,16,,,,994,1
,,GAT,Training,Distributed,1,16,Kronecker,float32,21,2097152,0.01%,439804651,3,16,,,,4010,2
,,GAT,Training,Distributed,1,64,Kronecker,float32,17,131072,1%,171798692,3,16,,,,124,17
,,GAT,Training,Distributed,1,64,Kronecker,float32,18,262144,1%,687194767,3,16,,,,399,1
,,GAT,Training,Distributed,1,64,Kronecker,float32,20,1048576,0.01%,109951163,3,16,,,,423,1
,,GAT,Training,Distributed,1,64,Kronecker,float32,21,2097152,0.01%,439804651,3,16,,,,1016,2
,,GAT,Training,Distributed,1,256,Kronecker,float32,17,131072,1%,171798692,3,16,,,,61,7
,,GAT,Training,Distributed,1,256,Kronecker,float32,18,262144,1%,687194767,3,16,,,,121,4
,,GAT,Training,Distributed,1,256,Kronecker,float32,20,1048576,0.01%,109951163,3,16,,,,235,4
,,GAT,Training,Distributed,1,256,Kronecker,float32,21,2097152,0.01%,439804651,3,16,,,,467,9
1,45827494,GAT,Training,Single Node,1,1,Kronecker,float32,17,131072,1%,171798692,3,128,,,,19101,
2,45827602,GAT,Training,Single Node,1,1,Kronecker,float32,18,262144,1%,687194767,3,128,,,OOM,,
3,45827790,GAT,Training,Single Node,1,1,Kronecker,float32,20,1048576,0.01%,109951163,3,128,,,,45147,
4,45827827,GAT,Training,Single Node,1,1,Kronecker,float32,21,2097152,0.01%,439804651,3,128,,,,151376,
5,45827527,GAT,Training,Distributed,1,4,Kronecker,float32,17,131072,1%,171798692,3,128,,,,4811,
6,45827624,GAT,Training,Distributed,1,4,Kronecker,float32,18,262144,1%,687194767,3,128,,,,18600,
7,45827796,GAT,Training,Distributed,1,4,Kronecker,float32,20,1048576,0.01%,109951163,3,128,,,,17323,
8,45827861,GAT,Training,Distributed,1,4,Kronecker,float32,21,2097152,0.01%,439804651,3,128,,,,48572,
9,45827550,GAT,Training,Distributed,1,16,Kronecker,float32,17,131072,1%,171798692,3,128,,,,1134,
10,45827636,GAT,Training,Distributed,1,16,Kronecker,float32,18,262144,1%,687194767,3,128,,,,4730,
11,45827798,GAT,Training,Distributed,1,16,Kronecker,float32,20,1048576,0.01%,109951163,3,128,,,,6925,
12,45827893,GAT,Training,Distributed,1,16,Kronecker,float32,21,2097152,0.01%,439804651,3,128,,,,17413,
13,45827554,GAT,Training,Distributed,1,64,Kronecker,float32,17,131072,1%,171798692,3,128,,,,437,
14,45827640,GAT,Training,Distributed,1,64,Kronecker,float32,18,262144,1%,687194767,3,128,,,,1175,
15,45827800,GAT,Training,Distributed,1,64,Kronecker,float32,20,1048576,0.01%,109951163,3,128,,,,3133,
16,45827909,GAT,Training,Distributed,1,64,Kronecker,float32,21,2097152,0.01%,439804651,3,128,,,,6951,
17,45827566,GAT,Training,Distributed,1,256,Kronecker,float32,17,131072,1%,171798692,3,128,,,,234,
18,45827659,GAT,Training,Distributed,1,256,Kronecker,float32,18,262144,1%,687194767,3,128,,,,471,
